Human Timestamp,Unix Time,Microseconds,Accelerometer X (m/s/s),Accelerometer Y (m/s/s),Accelerometer Z (m/s/s),Gyroscope X (degrees/s),Gyroscope Y (degrees/s),Gyroscope Z (degrees/s),Magnetometer X (mG),Magnetometer Y (mG),Magnetometer Z (mG),IMU Temperature (deg C),Pressure (Pascals),Pressure Temperature (deg C)
Wed Jan 01 01:04:26 CET 2020,1577837066,350790,-0.008946354,-1.6272957,-9.960779,-0.18870125999475193,-1.7102736004558938,0.3577272493933928,38.016182,-270.97867,171.80525,35.10497,99880.5,35.7
Wed Jan 01 01:04:26 CET 2020,1577837066,450865,-0.022361591,-1.665484,-10.000501,-2.26231832775282,2.171391813881979,0.05104486380922023,38.66141,-270.35086,171.05539,35.09988,99881.36,35.702003
Wed Jan 01 01:04:26 CET 2020,1577837066,550790,-0.0021212527,-1.4888768,-9.782883,-1.8627234227305782,2.461998908138143,-0.19840111519905013,36.758423,-272.8424,173.29407,35.106052,99881.414,35.7025
Wed Jan 01 01:04:26 CET 2020,1577837066,650790,0.117191374,-1.2876166,-9.565359,-0.10709415979143957,1.6851832799948059,1.0947374078002894,35.208565,-273.17593,174.36873,35.104115,99879.94,35.7025
Wed Jan 01 01:04:26 CET 2020,1577837066,750790,0.21262665,-1.4401407,-9.631104,0.4662644574017268,0.5411465533482446,2.939132093784129,41.19001,-268.62445,170.4799,35.10361,99879.336,35.7025
Wed Jan 01 01:04:26 CET 2020,1577837066,850790,0.06338725,-1.5406018,-9.823513,-4.8225015087738585,2.4950297029643242,3.1480593842678153,42.20145,-270.36832,172.67717,35.10814,99879.91,35.71
Wed Jan 01 01:04:26 CET 2020,1577837066,950790,0.27306163,-1.4976517,-9.69487,3.0703415455598897,2.6340087225939466,1.9352726296205829,41.31208,-271.24023,173.28752,35.110043,99879.83,35.707497
Wed Jan 01 01:04:27 CET 2020,1577837067,50805,0.34941673,-1.4587139,-9.5849905,-3.1572616222455827,1.2531090799763658,1.0639726420677456,40.021626,-270.43805,173.47935,35.11327,99879.72,35.708
Wed Jan 01 01:04:27 CET 2020,1577837067,150790,0.045473,-1.4129043,-9.500897,-4.63932099582149,0.0667959156223174,1.600532192151391,40.893555,-275.007,176.72293,35.10474,99880.26,35.71
Wed Jan 01 01:04:27 CET 2020,1577837067,250790,0.18578133,-1.3099381,-9.700449,4.423344950114351,-2.592276570329132,1.7040887882714564,41.71317,-275.12906,175.81613,35.111076,99880.13,35.71
Wed Jan 01 01:04:27 CET 2020,1577837067,350790,0.2032612,-1.3702462,-9.894615,0.6000065053762327,-0.42009423794171463,1.6236212671856654,43.84068,-273.92578,174.64774,35.10831,99879.11,35.71
Wed Jan 01 01:04:27 CET 2020,1577837067,450790,0.0228885,-1.4637816,-9.827171,0.6581652246494327,1.4668555242654404,1.8457189837729147,41.900635,-275.5432,176.05591,35.109695,99878.91,35.71
Wed Jan 01 01:04:27 CET 2020,1577837067,550790,0.29847193,-1.5355932,-9.810395,2.3845292329700607,2.12695399601395,0.7161942082738979,34.301758,-280.09033,178.50749,35.1111,99879.34,35.71
Wed Jan 01 01:04:27 CET 2020,1577837067,650788,0.324137,-1.376351,-9.735477,-1.7907767903073504,0.826984581852933,0.8104901303532969,35.720825,-278.1372,178.08533,35.11152,99879.73,35.71
Wed Jan 01 01:04:27 CET 2020,1577837067,750790,0.2749141,-1.3071545,-9.729817,-3.9023065495736144,1.9249757399918348,1.2091216751386036,33.935547,-281.09305,181.25697,35.111317,99879.44,35.71
Wed Jan 01 01:04:27 CET 2020,1577837067,850790,0.3358451,-1.4189057,-9.776508,-0.047155403099982625,2.2216744522957605,1.6856170728980924,33.970425,-282.13937,180.05371,35.11104,99878.12,35.7125
Wed Jan 01 01:04:27 CET 2020,1577837067,950790,0.56856704,-1.2104957,-9.865581,-2.974613256920548,2.08332972956706,1.5837258286796576,33.91811,-282.34863,180.66406,35.110374,99879.02,35.7125
Wed Jan 01 01:04:28 CET 2020,1577837068,50790,0.3660371,-1.1796294,-9.697408,1.2854740831404528,3.0541494437675127,2.182917530433403,34.40639,-282.31375,182.11147,35.11525,99878.78,35.72
Wed Jan 01 01:04:28 CET 2020,1577837068,150790,0.42024535,-1.7553755,-9.902149,4.436362076416542,4.5223723719047895,0.9715396920299629,31.790598,-280.7443,181.5883,35.114292,99878.41,35.715
Wed Jan 01 01:04:28 CET 2020,1577837068,250790,0.7196439,-1.4897724,-9.968643,-5.000386651953708,2.4431380237640696,1.3968348534061745,28.791155,-281.4767,182.4428,35.11371,99879.32,35.72
Wed Jan 01 01:04:28 CET 2020,1577837068,350790,0.72085303,-1.4187022,-9.888842,2.524791872817701,5.794395535839764,0.3281145847918486,26.45438,-284.1797,183.76814,35.116703,99877.4,35.72
Wed Jan 01 01:04:28 CET 2020,1577837068,450790,0.82958716,-1.536444,-9.150416,-4.452445502310125,5.270695486470465,-0.5905358030185883,19.862583,-285.15625,185.98283,35.118996,99879.52,35.72
Wed Jan 01 01:04:28 CET 2020,1577837068,550790,0.7813426,-1.2796894,-9.432999,-7.727577672228378,2.584247910632754,-0.6861003188998309,17.410278,-289.4287,188.90381,35.114265,99877.55,35.72
Wed Jan 01 01:04:28 CET 2020,1577837068,650790,0.7460523,-1.0566081,-9.451333,5.424040822436329,0.7523402523805224,-1.995320617163704,14.735631,-293.10825,192.47,35.111694,99878.914,35.72
Wed Jan 01 01:04:28 CET 2020,1577837068,750811,0.87406045,-1.1967078,-9.706824,-0.9478759704135183,-2.6965799337984517,-1.4455350128802549,14.351981,-289.67285,189.4008,35.11644,99878.375,35.72
Wed Jan 01 01:04:28 CET 2020,1577837068,850790,0.6966282,-0.91723734,-9.940469,-8.68494434227561,-0.009252513387564311,-0.10351854627456404,18.01409,-292.09683,191.98172,35.1234,99879.52,35.72
Wed Jan 01 01:04:28 CET 2020,1577837068,950790,0.830167,-0.6362221,-9.578664,-1.5389838397205906,0.5030621774461612,2.0604174805412985,21.606445,-293.2129,193.2373,35.122406,99879.914,35.72
Wed Jan 01 01:04:29 CET 2020,1577837069,50790,0.78768533,-0.97443956,-9.5136385,-0.5474832613507239,0.005304279849156128,3.837721191473863,23.158482,-294.10226,193.60352,35.119354,99879.2,35.725
Wed Jan 01 01:04:29 CET 2020,1577837069,150790,0.7503449,-0.7314189,-9.894084,0.8135687242851939,-3.969836174551586,4.000112733540456,25.425503,-295.09625,194.84166,35.129017,99879.13,35.7225
Wed Jan 01 01:04:29 CET 2020,1577837069,250790,0.8047441,-0.6139849,-10.13063,5.249932925649478,0.41845051497245567,3.413560372736809,29.035295,-293.96274,194.00461,35.12108,99880.82,35.725
Wed Jan 01 01:04:29 CET 2020,1577837069,350837,1.0182962,-1.1265304,-9.811459,3.9106466658961447,1.7494855646989553,3.144316440602648,29.697964,-289.13226,191.49344,35.123463,99878.41,35.727497
Wed Jan 01 01:04:29 CET 2020,1577837069,450790,0.61750865,-0.76171523,-9.824752,-13.153603802983458,1.5519838146588667,2.491302696407221,29.968262,-294.67773,195.89233,35.118347,99881.016,35.73
