Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active,Latitude (degrees),Longitude (degrees),Height (m),Velocity North (m/s),Velocity East (m/s),Velocity Down (m/s),Acceleration X (m/s/s),Acceleration Y (m/s/s),Acceleration Z (m/s/s),G Force (g),Roll (degrees),Pitch (degrees),Heading (degrees),Angular Velocity X (degrees/s),Angular Velocity Y (degrees/s),Angular Velocity Z (degrees/s),Latitude Error (m),Longitude Error (m),Height Error (m)
Wed Jan 01 01:04:24 CET 2020,1577837064,950790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.297228813413433,2.8240418884495986,306.39259640506947,-11.298796417718941,-1.2398460668640534,-0.5578896237336691,0.0,0.0,50.0
Wed Jan 01 01:04:25 CET 2020,1577837065,50790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.722538925314828,2.6097591225286965,305.76333988019115,4.567933072872369,-3.7214558900381274,-7.943034623558597,0.0,0.0,50.0
Wed Jan 01 01:04:25 CET 2020,1577837065,150790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.333293833769442,2.6450548080836542,305.4164706963578,6.346177073180672,-0.9011979263887158,-5.65659388904107,0.0,0.0,50.0
Wed Jan 01 01:04:25 CET 2020,1577837065,250822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.843238985096047,1.8891752275662221,305.3692798569083,-34.736974866595,-7.969699682078327,-1.3496730043151628,0.0,0.0,50.0
Wed Jan 01 01:04:25 CET 2020,1577837065,350790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.002071950541607,1.4873873764744618,305.39799457930695,11.709486889156878,-3.8519510558086862,0.8956776916105207,0.0,0.0,50.0
Wed Jan 01 01:04:25 CET 2020,1577837065,450790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58644977895896,1.3871910816440614,305.74746712768797,-4.177428694289469,-0.7061642272597157,1.3621292961955058,0.0,0.0,50.0
Wed Jan 01 01:04:25 CET 2020,1577837065,550790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.498673044769365,1.4296303861609447,305.8978988567359,-0.9076280182553473,0.37506431856363615,-0.8307581854783742,0.0,0.0,50.0
Wed Jan 01 01:04:25 CET 2020,1577837065,650790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.897547592507141,1.4608124764517763,305.6863463450992,3.9969414008178274,-0.05770429350679574,-2.133369820374315,0.0,0.0,50.0
Wed Jan 01 01:04:25 CET 2020,1577837065,750790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.539925366127026,1.5859392653166866,305.5807546561704,6.44646185690632,0.713938424464015,-3.478049197496291,0.0,0.0,50.0
Wed Jan 01 01:04:25 CET 2020,1577837065,850836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.445054541964948,1.5221279953228701,305.57228400734374,-10.923404363911631,-1.0173941670228435,-2.213999444616408,0.0,0.0,50.0
Wed Jan 01 01:04:25 CET 2020,1577837065,950790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.234058159508693,1.6400867283268243,305.8108221410452,-2.0897399379941075,1.1960848930698,-0.07986905421889029,0.0,0.0,50.0
